Entreprise,Note,Titre,Commentaire
BNP Paribas,4.0,Sympa et agréable,"Lieu très sympa bonne équipe , hiérarchie à l’écoute et qui sait soutenir pour les projets professionnels"
BNP Paribas,4.0,Très formateur,"Ils m ont donné ma chance. Très formateur, hiérarchie équipe infra très sympa de 2016 à 2019"
BNP Paribas,5.0,Lieu de travail agréable,"Les collègues étaient très sympas, accueillants et toujours prêts à aider. L’ambiance de travail était agréable et professionnelle. Une expérience très enrichissante."
BNP Paribas,4.0,Top,"L’entreprise est très bien dans l’ensemble, les horraires de travail top et pas plus de pression que ça . Je recommande comme première expérience !!!!"
BNP Paribas,5.0,Conditions de travail globalement satisfaisantes,Rapport salaire/missions globalement satisfaisant.
BNP Paribas,4.0,Banque française de base,"Manque de liberté confiance et autonomie. Le flicage n’apporte pas de résultat!
Supplément : tout ce que vous pourrez dire se retournera contre vous
...Voir plus"
BNP Paribas,5.0,Lieu de travail agréable,"Il n’y pas grand chose à dire c’est juste une banque, il y a plein d’avantage et de possibilités d’évolution. Rejoindre BNP c’est vraiment le choix de la stabilité et du risque zéro."
BNP Paribas,4.0,Intéressant mais,"Travail répétitif, et peu de perspective d'évolution"
BNP Paribas,4.0,Environnement propice au développement,"J'ai été stagiaire à la BNP et j'ai apprécié cette expérience. J'ai été encadré et formé de façon professionnelle.
Je recommande quelqu'un qui voudrait effectuer un stage."
BNP Paribas,5.0,Très enrichissante je recommande,"Quel est laspect le plus agréable dans le fait de travailler dans cette entreprise ?
BNP PARIBAS employeur responsable. Mets l'humain avant tout sûreté de l'emploi. Après SANOFI. la BNP PARIBAS est le deuxième employeur généreux dans le monde. Vous intégrer une entreprise qui assure votre intégration...Voir plus"
BNP Paribas,4.0,Alternance,Parfait pour une alternance en agence Parfait pour une alternance Parfait pour une alternance Parfait pour une alternance Parfait pour une alternance j
BNP Paribas,2.0,Bof,"Assez mitigé. Un cadre de travail plus ou moins agréable, mais un management assez linéaire sans réels échanges constructifs. Salaire plutôt bas par rapport à la concurrence"
BNP Paribas,5.0,Super,"Bonne Ambiance, je recommande fortement. Présent partout dans le monde, bonne évolution sur du très long therme, bnp est une grande banque française !"
BNP Paribas,4.0,Conseiller clientèle,"Salaire assez bas par rapport aux autres banques mais pas trop de pression.
Mais clients très exigeant et pas très reconnaissant dommage.
Concernant les formations tous à distance pas très formateur c’est dommage"
